Nome,Classe,Tipo de Ativo,Bolsa Fonte,Ativo Cancelado,CNPJ,Número de emissão,Serie,Codigo,Setor NAICS ult disponiv,Agente Fiduciário,Líder,Banco Mandatário,Incentivada Lei 12.431,Volume,Data de emissão,Vencimento/Repactuação,Referência NTN-B,Remuneração,Amortização,Espécie,Tipo de Debênture,Índice de correção,Data da Últ Cotação,Taxa (YTM) [%],Máximo da Taxa (YTM) 12 meses [%],Data do Máximo Taxa (YTM) 12 meses,Taxa Atual vs Máx 12m [%],PU [R$],Máximo do PU 12 meses [R$],Data do Máximo PU 12 meses,PU Atual vs Máx 12m [%],Duration [dias úteis],Taxa de Compra [%],Taxa de Venda [%],Retorno 1 dia [%],Prêmio vs CDI 1 dia [% do CDI],Retorno 6 meses [%],Prêmio vs CDI 6 meses [% do CDI],Retorno 12 meses [%],Prêmio vs CDI 12 meses [% do CDI],Retorno no Ano [%],Prêmio vs CDI no Ano [% do CDI],Retorno do Início [%],Prêmio vs CDI do Início [% do CDI],Volatilidade 12 meses [%],Sharpe 12 meses,Máx Retorno Mensal (últ. 12 meses) [%],Máx Prêmio Mensal (últ. 12 meses) [% do CDI],Mín Retorno Mensal (últ. 12 meses) [%],Mín Prêmio Mensal (últ. 12 meses) [% do CDI],Meses Positivos (últ. 12 meses) [unidades],Meses acima do CDI (últ. 12 meses) [unidades],Dias Positivos (últ. 12 meses) [%],Dias acima do CDI (últ. 12 meses) [%],Perda Máxima (últ. 12 meses) [%],Data do Pico Perda Máxima,Data do Fundo Perda Máxima,Tempo de Recuperação Perda Máxima em dias úteis,Data Recuperação Perda Máxima
Algar Telecom S/A,Emis 06/Ser 02,Título privado de renda fixa,Anbima,ativo,71208516000174,6,02,ALGA26,Telecomunicações,Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Sim,269291000.00,15/03/2017,15/03/2024,15/05/2023,"Pagamento anual, nos dias 15-Mar. Primeiro em 15-Mar-2018 e último no vencimento.",2 parcelas em 15-03-2023 e no vencimento.,Quirografária,IPCA Spread,"IPCA + 6,8734%",21/12/2020,,5.3725,23/03/2020,,,1342.819091,21/12/2020,,,,,,,9.36,950.81,12.69,451.73,11.61,429.33,,,6.58,1.26,2.97,1986.98,-4.21,-1242.90,10,10,,,-7.52,04/03/2020,23/03/2020,80,30/06/2020
Algar Telecom S/A,Emis 07/Ser 01,Título privado de renda fixa,Anbima,ativo,71208516000174,7,01,ALGA17,Telecomunicações,Pentagono SA Dtvm,Banco BTG Pactual SA,Banco Bradesco SA,Não,523525000.00,15/03/2018,15/03/2023,,"Pagamento semestral, nos dias 15-set e 15-mar. Primeiro no dia 15-set-2018 e última no vencimento",2 parcelas iguais nos dias 15-mar. Primeiro em 15-mar-2022 e última no vencimento,Quirografária,DI Spread,"DI + 0,89%",21/12/2020,,3.4191,09/04/2020,,,997.065442,21/12/2020,,,,,,,4.66,473.25,4.35,154.71,4.18,154.51,,,3.06,0.51,1.64,1047.45,-3.70,-1092.29,11,11,,,-4.88,18/03/2020,09/04/2020,102,13/08/2020
Algar Telecom S/A,Emis 07/Ser 02,Título privado de renda fixa,Anbima,ativo,71208516000174,7,02,ALGA27,Telecomunicações,Pentagono SA Dtvm,Banco BTG Pactual SA,Banco Bradesco SA,Sim,76475000.00,15/03/2018,15/03/2025,15/08/2024,Pagamento semestral. nos dias 15-set e 15-mar. Primeiro em 15-set-2018 e última no vencimento,2 parcelas iguais em 15-mar-2024 e no vencimento,Quirografária,IPCA Spread,"IPCA + 5,5395%",21/12/2020,,5.8175,23/03/2020,,,1228.030598,21/12/2020,,,,,,,10.22,1038.56,12.39,440.88,11.11,410.68,,,8.75,1.13,3.04,1858.31,-4.92,-1453.06,10,8,,,-9.61,04/03/2020,23/03/2020,83,03/07/2020
Algar Telecom S/A,Emis 08/Ser 01,Título privado de renda fixa,Anbima,ativo,71208516000174,8,01,ALGA18,Telecomunicações,Pentagono SA Dtvm,XP Investimentos CCTVM SA,Banco Bradesco SA,Não,100000000.00,15/02/2019,15/02/2024,,Pagamento semestral. nos dias 15-ago e 15-fev. Primeiro no dia 15-ago-2019,Integral na data do vencimento,Quirografária,DI Spread,"DI + 0,60%",21/12/2020,,3.2995,15/04/2020,,,9755.419535,21/12/2020,,,,,,,4.62,469.07,2.18,77.58,2.15,79.48,,,4.09,-0.13,1.59,675.59,-5.98,-1768.67,11,11,,,-6.72,10/03/2020,15/04/2020,128,11/09/2020
Algar Telecom S/A,Emis 08/Ser 02,Título privado de renda fixa,Anbima,ativo,71208516000174,8,02,ALGA28,Telecomunicações,Pentagono SA Dtvm,XP Investimentos CCTVM SA,Banco Bradesco SA,Não,250000000.00,15/02/2019,15/02/2026,,Pagamento semestral. nos dias 15-ago e 15-fev. Primeiro em 15-ago-2019 e última no vencimento,2 parcelas iguais em 15-fev-2025 e no vencimento,Quirografária,DI Spread,"DI + 0,90%",21/12/2020,,4.3277,09/04/2020,,,9676.909914,30/11/2020,,,,,,,5.06,514.08,0.46,16.32,0.38,14.11,,,6.71,-0.32,3.62,1271.05,-9.93,-2933.97,10,8,,,-12.32,09/03/2020,09/04/2020,177,20/11/2020
Algar Telecom S/A,Emis 09/Ser uni,Título privado de renda fixa,Anbima,ativo,71208516000174,9,uni,ALGA19,Telecomunicações,Pentagono SA Dtvm,BB Banco de Investimento SA,Banco Bradesco SA,Não,350000000.00,10/10/2019,10/10/2024,,"Pagamento semestral, nos dias 10-Abr e 10-Out. Primeiro em 10-Abr-2020",Integral na data do vencimento,Quirografária,DI Spread,"DI + 0,70%",21/12/2020,,,,,,,,,,,,,,4.57,464.09,,,,,,,,,1.53,888.48,-3.20,-1004.73,,,,,-10.30,21/02/2020,14/04/2020,159,13/10/2020
Aliança Geração de Energia SA,Emis 02/Ser uni,Título privado de renda fixa,Anbima,ativo,12009135000105,2,uni,ALIG12,"Empresa de eletricidade, gás e água",Simplific Pavarini DTVM Ltda,Banco Abc Brasil SA,Banco Bradesco SA,Sim,77000000.00,15/06/2019,15/12/2029,15/08/2026,"Pagamento semestral, nos dias 15-Jun e 15-Dez. Primeiro em 15-Dez-2019 e último no vencimento","Pagamento semestral, nos dias 15-Jun e 15-Dez. Primeiro em 15-Jun-2020 e último no vencimento",Garantia Real,IPCA Spread,"IPCA + 3,65%",21/12/2020,,,,,,,,,,,,,,10.34,1050.22,,,,,,,,,4.52,2613.07,-4.52,-1337.15,,,,,-9.63,04/03/2020,23/03/2020,84,06/07/2020
Alianscsonae,Emis 02/Ser 01,Título privado de renda fixa,Anbima,ativo,05878397000132,2,1,SSBR12,Locadora de imóveis,Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,125000000.00,15/07/2017,15/07/2022,,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2018.",2 parcelas iguas em 15-Jul-2021 e no vencimento.,Quirografária,DI Spread,"DI + 0,75%",21/12/2020,,3.3582,15/04/2020,,,1003.004806,21/12/2020,,,,,,,3.00,304.99,3.01,107.07,2.91,107.69,,,1.34,0.15,1.02,443.11,-2.75,-813.22,11,11,,,-3.37,18/03/2020,15/04/2020,80,14/07/2020
Alianscsonae,Emis 02/Ser 02,Título privado de renda fixa,Anbima,ativo,05878397000132,2,2,SSBR22,Locadora de imóveis,Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,125000000.00,15/07/2017,15/07/2024,15/08/2024,"Pagamento anual, nos dias 15-Jul. Primeiro em 15-Jul-2018.",2 parcelas iguas em 15-Jul-2023 e no vencimento.,Quirografária,IPCA Spread,"IPCA + 6,2354%",21/12/2020,,6.0449,27/04/2020,,,1235.640304,17/12/2020,,,,,,,5.81,590.52,5.69,202.39,4.73,174.85,,,8.14,0.39,3.58,1556.30,-3.64,-1277.61,9,9,,,-9.35,04/03/2020,27/04/2020,189,03/12/2020
Alianscsonae,Emis 03/Ser 01,Título privado de renda fixa,Anbima,ativo,05878397000132,3,01,SSBR13,Locadora de imóveis,Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,90000000.00,15/01/2019,15/01/2024,,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jul-2019 e último no vencimento.",2 parcelas iguais em 15-Jan-2023 e no vencimento.,Quirografária,DI Spread,"DI + 0,80%",21/12/2020,,2.9938,19/06/2020,,,990.0340113,14/04/2020,,,,,,,5.21,528.91,1.60,56.85,1.47,54.46,,,3.25,-0.35,1.88,1151.38,-4.88,-1712.83,10,10,,,-5.28,14/04/2020,19/06/2020,,
Alianscsonae,Emis 03/Ser 02,Título privado de renda fixa,Anbima,ativo,05878397000132,3,02,SSBR23,Locadora de imóveis,Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,110000000.00,15/01/2019,15/01/2027,,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jul-2019 e último no vencimento.","3 parcelas: 33,3333% em 15-Jan-2025, 33,3333% em 15-Jan-2026 e 33,3334% no vencimento.",Quirografária,DI Spread,"DI + 1,05%",21/12/2020,,3.5506,15/04/2020,,,974.8984793,10/03/2020,,,,,,,4.34,440.36,-0.49,-17.27,-0.53,-19.70,,,3.41,-0.93,1.55,867.56,-6.04,-1783.58,9,9,,,-9.59,10/03/2020,15/04/2020,,
Alianscsonae,Emis 10/Ser uni,Título privado de renda fixa,Anbima,ativo,05878397000132,10,uni,ALSCA0,Locadora de imóveis,Pentagono SA Dtvm,Banco Santander Brasil SA,Banco Bradesco SA,Não,244830000.00,15/09/2018,15/09/2023,,"Pagamento semestral, nos dias 15-Mar e 15-Set. Primeiro em 15-Mar-2019 e último no vencimento.",2 parcelas iguais em 15-Set-2022 e no vencimento.,Quirografária,DI Percentual,110% do DI,21/12/2020,,166.3177,14/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliar,Emis 02/Ser 01,Título privado de renda fixa,Anbima,ativo,42771949000135,2,01,AALR12,Laboratório de exames médicos,Pentagono SA Dtvm,XP Investimentos CCTVM SA,Banco Bradesco SA,Não,157430000.00,15/07/2019,15/07/2025,,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2020 e último no vencimento.","4 parcelas iguais em 15-Jul-2022, 15-Jul-2023, 15-Jul-2024 e no vencimento.",Quirografária,DI Spread,"DI + 3,00%",21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,21/12/2020,,,
Alliar,Emis 02/Ser 02,Título privado de renda fixa,Anbima,ativo,42771949000135,2,02,AALR22,Laboratório de exames médicos,Pentagono SA Dtvm,XP Investimentos CCTVM SA,Banco Bradesco SA,Não,100030000.00,15/07/2019,15/07/2025,,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2020 e último no vencimento.","4 parcelas iguais em 15-Jul-2022, 15-Jul-2023, 15-Jul-2024 e no vencimento.",Quirografária,DI Spread,"DI + 3,00%",09/12/2020,,,,,,,,,,,,,,,,,,,,,,,,0.89,592.59,-3.63,-1348.17,,,,,-7.16,11/03/2020,10/07/2020,,
Alliar,Emis 02/Ser 03,Título privado de renda fixa,Anbima,ativo,42771949000135,2,03,AALR32,Laboratório de exames médicos,Pentagono SA Dtvm,XP Investimentos CCTVM SA,Banco Bradesco SA,Não,92540000.00,15/07/2019,15/07/2025,,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2020 e último no vencimento",Pagamento Anual. nos dias 15-Jul. Primeiro em 15-Jul-2022,Quirografária,DI Spread,"DI + 3,00%",09/12/2020,,,,,,,,,,,,,,,,,,,,,,,,2.61,1230.19,-5.19,-1822.97,,,,,-8.45,23/03/2020,24/07/2020,,
Alupar,Emis 06/Ser uni,Título privado de renda fixa,Anbima,ativo,08364948000138,6,uni,APAR16,"Geração, transmissão e distribuição de energia elétrica",Planner Trustee DTVM Ltda,Banco BTG Pactual SA,Itau Unibanco SA,Sim,250000000.00,15/04/2015,15/04/2021,15/08/2022,"Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2015 e último no vencimento.",2 parcelas em 15-Abr-2020 e no vencimento.,Quirografária,IPCA Spread,"IPCA + 7,3273%",21/12/2020,,7.0191,30/03/2020,,,679.239961,21/12/2020,,,,,,,5.35,543.79,9.58,340.92,9.20,340.32,,,3.66,1.82,2.85,1001.07,-1.73,-511.86,11,10,,,-2.25,06/03/2020,30/03/2020,27,15/04/2020
Alupar,Emis 07/Ser uni,Título privado de renda fixa,Anbima,ativo,08364948000138,7,uni,ALUP17,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Abc Brasil SA,Itau Unibanco SA,Não,64850000.00,15/10/2019,15/10/2025,,"Pagamento semestral , nos dias 15-abr e 15-out. Primeiro em 15-abr-2020","Pagamento anual, no dia 15-Out. Primeiro em 15-Out-2024 e última no vencimento",Quirografária,DI Spread,"DI + 1,40%",21/12/2020,,,,,,,,,,,,,,5.68,577.32,,,,,,,,,4.09,1436.12,0.26,182.85,,,,,-2.25,27/03/2020,07/04/2020,19,27/04/2020
Ampla Energ,Emis 10/Ser uni,Título privado de renda fixa,Anbima,ativo,33050071000158,10,uni,AMPLA0,"Geração, transmissão e distribuição de energia elétrica",Oliveira Trust Dtvm SA,Banco Itau BBA SA,Banco Bradesco SA,Não,1000000000.00,15/03/2019,15/03/2024,,"Pagamento semestral, nos dias 15-Mar e 15-Set. Primeiro em 15-Set-2019 e último no vencimento.",2 parcelas iguais em 15-Mar-2023 e no vencimento.,Quirografária,DI Percentual,108% do DI,21/12/2020,,171.8537,14/04/2020,,,967.06673,11/12/2020,,,,,,,5.24,531.93,1.60,57.08,1.29,47.69,,,4.05,-0.27,1.98,1018.00,-7.05,-2084.30,11,10,,,-8.07,03/03/2020,03/04/2020,186,27/11/2020
Arteris,Emis 05/Ser 01,Título privado de renda fixa,Anbima,ativo,02919555000167,5,01,ARTR15,Atividades auxiliares ao transporte rodoviário,Vortx DTVM Ltda,Banco BTG Pactual SA,Banco Bradesco SA,Não,1450971000.00,15/10/2017,17/12/2020,,"Pagamento semestral, nos dias 15-Abr e 15-Out. Primeiro em 15-Abr-2018 e última no vencimento",2 parcelas iguais em 15-Out-2021 e no vencimento,Quirografária,DI Spread,"DI + 1,6%",16/12/2020,,5.2637,14/04/2020,,,999.862066,16/12/2020,,,,,,,5.85,594.14,4.44,158.05,4.27,157.72,,,3.46,0.49,2.01,1035.03,-5.92,-1750.48,11,10,,,-6.78,18/03/2020,14/04/2020,94,03/08/2020
